0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:21 +0700] "GET /QLBNDC/QuanLy/KhachHang.htm HTTP/1.1" 200 9023
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:21 +0700] "GET /QLBNDC/resource/QuanLy/css/QuanLy-KhachHang.css HTTP/1.1" 200 7879
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:21 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:25 +0700] "GET /QLBNDC/QuanLy/KhachHang.htm?p=1 HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:25 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:45 +0700] "GET /QLBNDC/QuanLy/ThongTin.htm HTTP/1.1" 200 4539
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:45 +0700] "GET /QLBNDC/resource/QuanLy/css/ThongTinCaNhan.css HTTP/1.1" 200 8618
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:45 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:53 +0700] "GET /QLBNDC/QuanLy/Hang.htm HTTP/1.1" 200 12096
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:53 +0700] "GET /QLBNDC/resource/QuanLy/css/Loai.css HTTP/1.1" 200 9288
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:53 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:55 +0700] "GET /QLBNDC/QuanLy/Loai.htm HTTP/1.1" 200 10858
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:55 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:57 +0700] "GET /QLBNDC/QuanLy/DoanhSo.htm HTTP/1.1" 200 10260
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:57 +0700] "GET /QLBNDC/resource/QuanLy/css/QuanLyDoanhSo.css HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:16:57 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:17:02 +0700] "GET /QLBNDC/QuanLy/DoanhSoHoaDon.htm HTTP/1.1" 200 10260
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:17:03 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:17:06 +0700] "GET /QLBNDC/QuanLy/DoanhSoDonDatHang.htm HTTP/1.1" 200 10291
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:17:06 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:20:39 +0700] "GET /QLBNDC/QuanLy/TrangChu.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:20:39 +0700] "GET /QLBNDC/Login/Login.htm HTTP/1.1" 200 4243
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:20:47 +0700] "POST /QLBNDC/Login/Sig_in.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:20:47 +0700] "GET /QLBNDC/QuanLy/TrangChu.htm HTTP/1.1" 200 11789
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:20:47 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:20:50 +0700] "GET /QLBNDC/QuanLy/SanPham.htm HTTP/1.1" 200 15476
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:20:50 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:00 +0700] "GET /QLBNDC/QuanLy/Hang.htm HTTP/1.1" 200 12096
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:00 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:04 +0700] "GET /QLBNDC/QuanLy/ThemHang.htm HTTP/1.1" 200 6163
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:04 +0700] "GET /QLBNDC/resource/QuanLy/css/QuanLy-NhapSanPham.css HTTP/1.1" 200 5671
